,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty
0,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.7903,C(=C(Cl)Cl)Cl,0.2097,,,,,,,,,2.9088360305288023e-08 meter ** 3 / mole,1.7568696713778557e-08 meter ** 3 / mole
1,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.2077,C(=C(Cl)Cl)Cl,0.7923,,,,,,,,,7.414546409325793e-08 meter ** 3 / mole,1.7570553883446055e-08 meter ** 3 / mole
2,298.15 kelvin,101.325 kilopascal,2,1,C(=C(Cl)Cl)Cl,1.0,,,1.3898757971525686 gram / milliliter,0.00043815261068644193 gram / milliliter,,,,,,,,
3,303.28 kelvin,100.4 kilopascal,2,1,C(=C(F)F)(C(F)(F)F)F,1.0,,,1.1718211862527148 gram / milliliter,0.00043126638231530883 gram / milliliter,,,,,,,,
4,293.15 kelvin,101.325 kilopascal,2,1,C(=O)(C(F)(F)F)O,1.0,,,1.5554071319466423 gram / milliliter,0.0003876104408472657 gram / milliliter,,,,,,,,
5,293.15 kelvin,101.0 kilopascal,2,1,C(C(Br)Br)(Br)Br,1.0,,,2.390592439704737 gram / milliliter,0.0004227298256398288 gram / milliliter,,,,,,,,
6,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)(C(F)(F)F)O,0.205,O,0.795,,,,,,,,,-3.495201257990111e-07 meter ** 3 / mole,1.4227951151839106e-08 meter ** 3 / mole
7,298.15 kelvin,101.325 kilopascal,2,1,C(C(F)(F)F)(C(F)(F)F)O,1.0,,,1.5323271780373875 gram / milliliter,0.00032604228649437214 gram / milliliter,,,,,,,,
8,293.2195 kelvin,100.049 kilopascal,2,1,C(C(F)(F)F)F,1.0,,,1.1627382950060956 gram / milliliter,0.00042589935101163716 gram / milliliter,,,,,,,,
9,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.20133,CCCO,0.79867,,,,,-406.3703329459604 kilogram * meter ** 2 / mole / second ** 2,16.831175749340513 kilogram * meter ** 2 / mole / second ** 2,,,,
10,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.7170000000000001,C(C(F)(F)F)O,0.28300000000000003,,,,,-1626.7697513489693 kilogram * meter ** 2 / mole / second ** 2,17.376178922569096 kilogram * meter ** 2 / mole / second ** 2,,,,
11,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29705,CO,0.70295,,,,,-493.3578303107206 kilogram * meter ** 2 / mole / second ** 2,18.224694073500174 kilogram * meter ** 2 / mole / second ** 2,,,,
12,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29878000000000005,O,0.70122,,,,,508.1270977879449 kilogram * meter ** 2 / mole / second ** 2,17.961118715542558 kilogram * meter ** 2 / mole / second ** 2,,,,
13,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29919,CCO,0.7008099999999999,,,,,-577.8130790641299 kilogram * meter ** 2 / mole / second ** 2,17.28961450498035 kilogram * meter ** 2 / mole / second ** 2,,,,
14,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.7077899999999999,O,0.29220999999999997,,,,,725.6176591538533 kilogram * meter ** 2 / mole / second ** 2,16.767464543674322 kilogram * meter ** 2 / mole / second ** 2,,,,
15,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.70985,CO,0.29015,,,,,-485.6986304179154 kilogram * meter ** 2 / mole / second ** 2,16.05199708200741 kilogram * meter ** 2 / mole / second ** 2,,,,
16,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.212,C(C(F)(F)F)O,0.7879999999999999,,,,,-1260.1980299690622 kilogram * meter ** 2 / mole / second ** 2,15.542256848962612 kilogram * meter ** 2 / mole / second ** 2,,,,
17,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.79638,CCO,0.20362,,,,,-340.06986592765315 kilogram * meter ** 2 / mole / second ** 2,16.0875293034969 kilogram * meter ** 2 / mole / second ** 2,,,,
18,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.79867,CCCO,0.20133,,,,,-264.1398932441807 kilogram * meter ** 2 / mole / second ** 2,17.384691007180514 kilogram * meter ** 2 / mole / second ** 2,,,,
19,298.15 kelvin,101.325 kilopascal,2,1,C(C(F)(F)F)O,1.0,,,1.3298288884598197 gram / milliliter,0.00041711514817468386 gram / milliliter,,,,,,,,
20,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2146,CCCCOC(=O)C,0.7854,,,,,-824.8956808850871 kilogram * meter ** 2 / mole / second ** 2,16.71594658549129 kilogram * meter ** 2 / mole / second ** 2,,,,
21,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7738,C(CBr)Br,0.2262,,,,,,,,,-5.341084938315863e-07 meter ** 3 / mole,1.788411272108151e-08 meter ** 3 / mole
